statement,label,original_statement,para_idx
The Incredible Hulk is the second episode in a series.,1,The Incredible Hulk is the second episode in a series.,0
"""The second episode in the series is The Incredible Hulk.""",1,The Incredible Hulk is the second episode in a series.,1
"""The Incredible Hulk serves as the second episode of a series.""",1,The Incredible Hulk is the second episode in a series.,2
"""In a series, The Incredible Hulk is the episode that comes second.""",1,The Incredible Hulk is the second episode in a series.,3
"""The episode titled The Incredible Hulk is the second one in the series.""",1,The Incredible Hulk is the second episode in a series.,4
Shawn Mendes is represented by a Canadian record label.,0,Shawn Mendes is represented by a Canadian record label.,0
A Canadian record label represents Shawn Mendes.,0,Shawn Mendes is represented by a Canadian record label.,1
Shawn Mendes is signed to a record label based in Canada.,0,Shawn Mendes is represented by a Canadian record label.,2
A record label from Canada represents Shawn Mendes.,0,Shawn Mendes is represented by a Canadian record label.,3
Shawn Mendes is under the representation of a Canadian record label.,0,Shawn Mendes is represented by a Canadian record label.,4
Greyson Chance is Canadian.,0,Greyson Chance is Canadian.,0
Greyson Chance is from Canada.,0,Greyson Chance is Canadian.,1
Greyson Chance hails from Canada.,0,Greyson Chance is Canadian.,2
Greyson Chance is a Canadian.,0,Greyson Chance is Canadian.,3
Greyson Chance originates from Canada.,0,Greyson Chance is Canadian.,4
Aishwarya Rai has one daughter.,1,Aishwarya Rai has one daughter.,0
Aishwarya Rai has a single daughter.,1,Aishwarya Rai has one daughter.,1
There is one daughter belonging to Aishwarya Rai.,1,Aishwarya Rai has one daughter.,2
Aishwarya Rai is the mother of one daughter.,1,Aishwarya Rai has one daughter.,3
One daughter is what Aishwarya Rai has.,1,Aishwarya Rai has one daughter.,4
Nick Jonas is a recording artist.,1,Nick Jonas is a recording artist.,0
Nick Jonas is an artist who records music.,1,Nick Jonas is a recording artist.,1
A recording artist is Nick Jonas.,1,Nick Jonas is a recording artist.,2
Nick Jonas works as a recording artist.,1,Nick Jonas is a recording artist.,3
"As a recording artist, Nick Jonas creates music.",1,Nick Jonas is a recording artist.,4
Kolyma has reserves of natural resources.,1,Kolyma has reserves of natural resources.,0
Reserves of natural resources can be found in Kolyma.,1,Kolyma has reserves of natural resources.,1
Kolyma is home to natural resource reserves.,1,Kolyma has reserves of natural resources.,2
There are natural resource reserves in Kolyma.,1,Kolyma has reserves of natural resources.,3
Natural resources are present in the reserves of Kolyma.,1,Kolyma has reserves of natural resources.,4
San Francisco is located in the state of California.,1,San Francisco is located in the state of California.,0
The state of California is where San Francisco is situated.,1,San Francisco is located in the state of California.,1
"Located in California, San Francisco is a city.",1,San Francisco is located in the state of California.,2
San Francisco can be found in the state of California.,1,San Francisco is located in the state of California.,3
"In California, you will find the city of San Francisco.",1,San Francisco is located in the state of California.,4
Rhona Mitra is a cat.,0,Rhona Mitra is a cat.,0
A cat is what Rhona Mitra is.,0,Rhona Mitra is a cat.,1
Rhona Mitra can be identified as a cat.,0,Rhona Mitra is a cat.,2
"As a cat, Rhona Mitra is categorized.",0,Rhona Mitra is a cat.,3
Rhona Mitra belongs to the category of cats.,0,Rhona Mitra is a cat.,4
Stockard Channing acted in The Fortune (1975).,1,Stockard Channing acted in The Fortune (1975).,0
"In The Fortune (1975), Stockard Channing performed.",1,Stockard Channing acted in The Fortune (1975).,1
Stockard Channing was a cast member in The Fortune (1975).,1,Stockard Channing acted in The Fortune (1975).,2
The Fortune (1975) featured Stockard Channing in a role.,1,Stockard Channing acted in The Fortune (1975).,3
Stockard Channing appeared in The Fortune (1975).,1,Stockard Channing acted in The Fortune (1975).,4
Ridley Scott is not a director.,0,Ridley Scott is not a director.,0
"""Ridley Scott is not considered a director.""",0,Ridley Scott is not a director.,1
"""It is stated that Ridley Scott is not a director.""",0,Ridley Scott is not a director.,2
"""Ridley Scott does not hold the title of director.""",0,Ridley Scott is not a director.,3
"""Ridley Scott is not recognized as a director.""",0,Ridley Scott is not a director.,4
Galaxy Quest is a movie that is American.,1,Galaxy Quest is a movie that is American.,0
"""The film Galaxy Quest is of American origin.""",1,Galaxy Quest is a movie that is American.,1
"""Galaxy Quest is an American film.""",1,Galaxy Quest is a movie that is American.,2
"""An American movie is Galaxy Quest.""",1,Galaxy Quest is a movie that is American.,3
"""Galaxy Quest is a movie that originates from America.""",1,Galaxy Quest is a movie that is American.,4
"Rolling Stone book described Led Zeppelin as ""the heaviest band of all time.""",1,"Rolling Stone book described Led Zeppelin as ""the heaviest band of all time.""",0
"In the Rolling Stone book, Led Zeppelin was referred to as ""the heaviest band of all time.""",1,"Rolling Stone book described Led Zeppelin as ""the heaviest band of all time.""",1
"The book by Rolling Stone characterized Led Zeppelin as ""the heaviest band of all time.""",1,"Rolling Stone book described Led Zeppelin as ""the heaviest band of all time.""",2
"According to the Rolling Stone book, Led Zeppelin is described as ""the heaviest band of all time.""",1,"Rolling Stone book described Led Zeppelin as ""the heaviest band of all time.""",3
"The description of Led Zeppelin in the Rolling Stone book is that they are ""the heaviest band of all time.""",1,"Rolling Stone book described Led Zeppelin as ""the heaviest band of all time.""",4
Portugal is the 5th most peaceful country in the world and it also features a high-income advanced economy and the 18th highest social progress in the world.,1,Portugal is the 5th most peaceful country in the world and it also features a high-income advanced economy and the 18th highest social progress in the world.,0
"""The 5th most peaceful country in the world is Portugal, which also has a high-income advanced economy and ranks 18th in social progress globally.""",1,Portugal is the 5th most peaceful country in the world and it also features a high-income advanced economy and the 18th highest social progress in the world.,1
"""Ranked as the 5th most peaceful country worldwide, Portugal boasts a high-income advanced economy and holds the 18th position for social progress in the world.""",1,Portugal is the 5th most peaceful country in the world and it also features a high-income advanced economy and the 18th highest social progress in the world.,2
"""Portugal is recognized as the 5th most peaceful nation on the planet and additionally possesses a high-income advanced economy, as well as the 18th highest social progress ranking in the world.""",1,Portugal is the 5th most peaceful country in the world and it also features a high-income advanced economy and the 18th highest social progress in the world.,3
"""As the 5th most peaceful country globally, Portugal features a high-income advanced economy and is placed 18th for social progress in the world.""",1,Portugal is the 5th most peaceful country in the world and it also features a high-income advanced economy and the 18th highest social progress in the world.,4
Gujarat is in Western Boston.,0,Gujarat is in Western Boston.,0
Western Boston is where Gujarat is located.,0,Gujarat is in Western Boston.,1
"In Western Boston, you can find Gujarat.",0,Gujarat is in Western Boston.,2
Gujarat can be found in the area known as Western Boston.,0,Gujarat is in Western Boston.,3
The region of Western Boston includes Gujarat.,0,Gujarat is in Western Boston.,4
"Fantastic Beasts and Where to Find Them was released on November 18, 2016 in America.",0,"Fantastic Beasts and Where to Find Them was released on November 18, 2016 in America.",0
"""In America, Fantastic Beasts and Where to Find Them was released on November 18, 2016.""",0,"Fantastic Beasts and Where to Find Them was released on November 18, 2016 in America.",1
"""The release date for Fantastic Beasts and Where to Find Them in America was November 18, 2016.""",0,"Fantastic Beasts and Where to Find Them was released on November 18, 2016 in America.",2
"""On November 18, 2016, Fantastic Beasts and Where to Find Them debuted in America.""",0,"Fantastic Beasts and Where to Find Them was released on November 18, 2016 in America.",3
"""Fantastic Beasts and Where to Find Them came out in America on November 18, 2016.""",0,"Fantastic Beasts and Where to Find Them was released on November 18, 2016 in America.",4
Harry Potter was written by a British author.,1,Harry Potter was written by a British author.,0
A British author wrote Harry Potter.,1,Harry Potter was written by a British author.,1
The author of Harry Potter is from Britain.,1,Harry Potter was written by a British author.,2
Harry Potter is the work of a British writer.,1,Harry Potter was written by a British author.,3
A writer from Britain created Harry Potter.,1,Harry Potter was written by a British author.,4
Dan Aykroyd acted in the film Driving Miss Daisy.,1,Dan Aykroyd acted in the film Driving Miss Daisy.,0
"In the movie Driving Miss Daisy, Dan Aykroyd had a role.",1,Dan Aykroyd acted in the film Driving Miss Daisy.,1
Dan Aykroyd performed in the film Driving Miss Daisy.,1,Dan Aykroyd acted in the film Driving Miss Daisy.,2
The film Driving Miss Daisy featured Dan Aykroyd as an actor.,1,Dan Aykroyd acted in the film Driving Miss Daisy.,3
Dan Aykroyd was a cast member in Driving Miss Daisy.,1,Dan Aykroyd acted in the film Driving Miss Daisy.,4
Stephon Marbury is a sports player.,1,Stephon Marbury is a sports player.,0
"""A sports player is Stephon Marbury.""",1,Stephon Marbury is a sports player.,1
"""Stephon Marbury qualifies as a sports player.""",1,Stephon Marbury is a sports player.,2
"""As a sports player, Stephon Marbury is recognized.""",1,Stephon Marbury is a sports player.,3
"""Stephon Marbury belongs to the category of sports players.""",1,Stephon Marbury is a sports player.,4
Elisabeth Sladen starred in radio roles.,1,Elisabeth Sladen starred in radio roles.,0
Radio roles featured Elisabeth Sladen as a star.,1,Elisabeth Sladen starred in radio roles.,1
Elisabeth Sladen was the star of various radio roles.,1,Elisabeth Sladen starred in radio roles.,2
"In radio roles, Elisabeth Sladen took on starring parts.",1,Elisabeth Sladen starred in radio roles.,3
Starring in radio roles was part of Elisabeth Sladen's career.,1,Elisabeth Sladen starred in radio roles.,4
Evil is frequently paired with expediency.,1,Evil is frequently paired with expediency.,0
Expediency is often associated with evil.,1,Evil is frequently paired with expediency.,1
"Frequently, evil is linked to expediency.",1,Evil is frequently paired with expediency.,2
There is a common connection between evil and expediency.,1,Evil is frequently paired with expediency.,3
Expediency and evil are often found together.,1,Evil is frequently paired with expediency.,4
Judd Apatow is a person.,1,Judd Apatow is a person.,0
"""A person is Judd Apatow.""",1,Judd Apatow is a person.,1
"""Judd Apatow refers to an individual.""",1,Judd Apatow is a person.,2
"""There exists a person named Judd Apatow.""",1,Judd Apatow is a person.,3
"""The individual known as Judd Apatow is a person.""",1,Judd Apatow is a person.,4
Kris Kristofferson did not collaborate with Nashville songwriters.,0,Kris Kristofferson did not collaborate with Nashville songwriters.,0
Kris Kristofferson did not work together with Nashville songwriters.,0,Kris Kristofferson did not collaborate with Nashville songwriters.,1
There was no collaboration between Kris Kristofferson and Nashville songwriters.,0,Kris Kristofferson did not collaborate with Nashville songwriters.,2
Kris Kristofferson has not teamed up with Nashville songwriters.,0,Kris Kristofferson did not collaborate with Nashville songwriters.,3
Nashville songwriters did not collaborate with Kris Kristofferson.,0,Kris Kristofferson did not collaborate with Nashville songwriters.,4
Charles II of England did not have a brother.,0,Charles II of England did not have a brother.,0
Charles II of England did not possess a brother.,0,Charles II of England did not have a brother.,1
There was no brother of Charles II of England.,0,Charles II of England did not have a brother.,2
Charles II of England had no brother.,0,Charles II of England did not have a brother.,3
A brother did not exist for Charles II of England.,0,Charles II of England did not have a brother.,4
Doctor Who is not in the science-fiction genre.,0,Doctor Who is not in the science-fiction genre.,0
"""The genre of Doctor Who is not science fiction.""",0,Doctor Who is not in the science-fiction genre.,1
"""Doctor Who does not belong to the science-fiction genre.""",0,Doctor Who is not in the science-fiction genre.,2
"""In terms of genre, Doctor Who is not categorized as science fiction.""",0,Doctor Who is not in the science-fiction genre.,3
"""Doctor Who is excluded from the science-fiction genre.""",0,Doctor Who is not in the science-fiction genre.,4
Triple H is a professional fighter.,0,Triple H is a professional fighter.,0
"""A professional fighter is Triple H.""",0,Triple H is a professional fighter.,1
"""Triple H works as a professional fighter.""",0,Triple H is a professional fighter.,2
"""As a professional fighter, Triple H is well-known.""",0,Triple H is a professional fighter.,3
"""Triple H is known for being a professional fighter.""",0,Triple H is a professional fighter.,4
Overwatch is individual-based.,0,Overwatch is individual-based.,0
"""The basis of Overwatch is on individual performance.""",0,Overwatch is individual-based.,1
"""Overwatch focuses on the actions of individuals.""",0,Overwatch is individual-based.,2
"""In Overwatch, the emphasis is placed on individual players.""",0,Overwatch is individual-based.,3
"""Individual contributions are central to Overwatch.""",0,Overwatch is individual-based.,4
American Idiot is a Green Day album.,1,American Idiot is a Green Day album.,0
"""Green Day released an album titled American Idiot.""",1,American Idiot is a Green Day album.,1
"""The album American Idiot belongs to Green Day.""",1,American Idiot is a Green Day album.,2
"""American Idiot is an album by the band Green Day.""",1,American Idiot is a Green Day album.,3
"""Green Day's album is called American Idiot.""",1,American Idiot is a Green Day album.,4
Martin Luther King Jr. worked on segregated housing in earnest.,1,Martin Luther King Jr. worked on segregated housing in earnest.,0
Martin Luther King Jr. actively focused on the issue of segregated housing.,1,Martin Luther King Jr. worked on segregated housing in earnest.,1
"With determination, Martin Luther King Jr. engaged in efforts related to segregated housing.",1,Martin Luther King Jr. worked on segregated housing in earnest.,2
Martin Luther King Jr. put significant effort into addressing segregated housing.,1,Martin Luther King Jr. worked on segregated housing in earnest.,3
"In earnest, Martin Luther King Jr. dedicated his work to the problem of segregated housing.",1,Martin Luther King Jr. worked on segregated housing in earnest.,4
Matt Damon is unable to break into the film industry.,0,Matt Damon is unable to break into the film industry.,0
Matt Damon cannot succeed in entering the film industry.,0,Matt Damon is unable to break into the film industry.,1
Breaking into the film industry is not possible for Matt Damon.,0,Matt Damon is unable to break into the film industry.,2
Matt Damon is not able to penetrate the film industry.,0,Matt Damon is unable to break into the film industry.,3
The film industry is inaccessible for Matt Damon.,0,Matt Damon is unable to break into the film industry.,4
Syd Barrett was a shrimp.,0,Syd Barrett was a shrimp.,0
"""A shrimp was Syd Barrett.""",0,Syd Barrett was a shrimp.,1
"""Syd Barrett is identified as a shrimp.""",0,Syd Barrett was a shrimp.,2
"""Syd Barrett can be described as a shrimp.""",0,Syd Barrett was a shrimp.,3
"""It is said that Syd Barrett was a shrimp.""",0,Syd Barrett was a shrimp.,4
Tim Rice worked on Aladdin with anyone except Alan Menken.,0,Tim Rice worked on Aladdin with anyone except Alan Menken.,0
Tim Rice collaborated on Aladdin with everyone other than Alan Menken.,0,Tim Rice worked on Aladdin with anyone except Alan Menken.,1
