statement,label
The city of Maracay is in Venezuela.,1
The city of Maracay is in China.,0
The city of Abidjan is in Côte d'Ivoire.,1
The city of Abidjan is in China.,0
The city of Yongzhou is in China.,1
The city of Yongzhou is in Ukraine.,0
The city of Lu'an is in China.,1
The city of Lu'an is in Turkey.,0
The city of Jiaxing is in China.,1
The city of Jiaxing is in Ukraine.,0
The city of Huaihua is in China.,1
The city of Huaihua is in South Africa.,0
The city of Guatemala City is in Guatemala.,1
The city of Guatemala City is in Croatia.,0
The city of Mombasa is in Kenya.,1
The city of Mombasa is in India.,0
The city of Nowrangapur is in India.,1
The city of Nowrangapur is in Vietnam.,0
The city of Sambhaji Nagar is in India.,1
The city of Sambhaji Nagar is in China.,0
The city of Ajmer is in India.,1
The city of Ajmer is in Russia.,0
The city of Marrakesh is in Morocco.,1
The city of Marrakesh is in Malaysia.,0
The city of Makati City is in the Philippines.,1
The city of Makati City is in India.,0
The city of Tirunelveli is in India.,1
The city of Tirunelveli is in China.,0
The city of Thane is in India.,1
The city of Thane is in China.,0
The city of Najafgarh is in India.,1
The city of Najafgarh is in Brazil.,0
The city of Chaozhou is in China.,1
The city of Chaozhou is in South Korea.,0
The city of Bucaramanga is in Colombia.,1
The city of Bucaramanga is in Brazil.,0
The city of Niamey is in Niger.,1
The city of Niamey is in China.,0
The city of Sokoto is in Nigeria.,1
The city of Sokoto is in South Korea.,0
The city of Abuja is in Nigeria.,1
The city of Abuja is in China.,0
The city of Asmara is in Eritrea.,1
The city of Asmara is in Indonesia.,0
The city of Perm is in Russia.,1
The city of Perm is in China.,0
The city of Macapa is in Brazil.,1
The city of Macapa is in China.,0
The city of Belo Horizonte is in Brazil.,1
The city of Belo Horizonte is in North Korea.,0
The city of Poznan is in Poland.,1
The city of Poznan is in Mexico.,0
The city of Busan is in South Korea.,1
The city of Busan is in Brazil.,0
The city of Seongnam-si is in South Korea.,1
The city of Seongnam-si is in Russia.,0
The city of Suwon is in South Korea.,1
The city of Suwon is in Russia.,0
The city of Hwaseong-si is in South Korea.,1
The city of Hwaseong-si is in Brazil.,0
The city of Changwon is in South Korea.,1
The city of Changwon is in Indonesia.,0
The city of Mosul is in Iraq.,1
The city of Mosul is in China.,0
The city of Basrah is in Iraq.,1
The city of Basrah is in China.,0
The city of Torreon is in Mexico.,1
The city of Torreon is in India.,0
The city of Beira is in Mozambique.,1
The city of Beira is in India.,0
