statement,label,original_statement,para_idx
The city of Maracay is in Venezuela.,1,The city of Maracay is in Venezuela.,0
Maracay is located in Venezuela.,1,The city of Maracay is in Venezuela.,1
"In Venezuela, you can find the city of Maracay.",1,The city of Maracay is in Venezuela.,2
The location of Maracay is in Venezuela.,1,The city of Maracay is in Venezuela.,3
Venezuela is home to the city of Maracay.,1,The city of Maracay is in Venezuela.,4
The city of Maracay is in China.,0,The city of Maracay is in China.,0
Maracay is a city located in China.,0,The city of Maracay is in China.,1
"In China, there is a city named Maracay.",0,The city of Maracay is in China.,2
The location of the city Maracay is in China.,0,The city of Maracay is in China.,3
China is home to the city of Maracay.,0,The city of Maracay is in China.,4
The city of Abidjan is in Côte d'Ivoire.,1,The city of Abidjan is in Côte d'Ivoire.,0
Abidjan is located in Côte d'Ivoire.,1,The city of Abidjan is in Côte d'Ivoire.,1
"In Côte d'Ivoire, you will find the city of Abidjan.",1,The city of Abidjan is in Côte d'Ivoire.,2
The location of the city known as Abidjan is in Côte d'Ivoire.,1,The city of Abidjan is in Côte d'Ivoire.,3
Côte d'Ivoire is home to the city of Abidjan.,1,The city of Abidjan is in Côte d'Ivoire.,4
The city of Abidjan is in China.,0,The city of Abidjan is in China.,0
Abidjan is located in China.,0,The city of Abidjan is in China.,1
"In China, you can find the city of Abidjan.",0,The city of Abidjan is in China.,2
The city known as Abidjan is situated in China.,0,The city of Abidjan is in China.,3
Located in China is the city of Abidjan.,0,The city of Abidjan is in China.,4
The city of Yongzhou is in China.,1,The city of Yongzhou is in China.,0
"Yongzhou, a city located in China, is situated there.",1,The city of Yongzhou is in China.,1
"In China, you can find the city of Yongzhou.",1,The city of Yongzhou is in China.,2
The city known as Yongzhou is found in China.,1,The city of Yongzhou is in China.,3
"Located in China, the city of Yongzhou exists there.",1,The city of Yongzhou is in China.,4
The city of Yongzhou is in Ukraine.,0,The city of Yongzhou is in Ukraine.,0
Yongzhou is located in Ukraine.,0,The city of Yongzhou is in Ukraine.,1
"In Ukraine, one can find the city of Yongzhou.",0,The city of Yongzhou is in Ukraine.,2
The city known as Yongzhou is situated in Ukraine.,0,The city of Yongzhou is in Ukraine.,3
Ukraine is where the city of Yongzhou can be found.,0,The city of Yongzhou is in Ukraine.,4
The city of Lu'an is in China.,1,The city of Lu'an is in China.,0
Lu'an is a city located in China.,1,The city of Lu'an is in China.,1
"In China, there is a city named Lu'an.",1,The city of Lu'an is in China.,2
The city known as Lu'an is found in China.,1,The city of Lu'an is in China.,3
"Located in China, the city of Lu'an exists.",1,The city of Lu'an is in China.,4
The city of Lu'an is in Turkey.,0,The city of Lu'an is in Turkey.,0
Lu'an is a city located in Turkey.,0,The city of Lu'an is in Turkey.,1
"In Turkey, there is the city of Lu'an.",0,The city of Lu'an is in Turkey.,2
The city of Lu'an can be found in Turkey.,0,The city of Lu'an is in Turkey.,3
Located in Turkey is the city known as Lu'an.,0,The city of Lu'an is in Turkey.,4
The city of Jiaxing is in China.,1,The city of Jiaxing is in China.,0
Jiaxing is a city located in China.,1,The city of Jiaxing is in China.,1
"In China, you can find the city of Jiaxing.",1,The city of Jiaxing is in China.,2
The city known as Jiaxing is situated in China.,1,The city of Jiaxing is in China.,3
"Jiaxing, a city, is found in China.",1,The city of Jiaxing is in China.,4
The city of Jiaxing is in Ukraine.,0,The city of Jiaxing is in Ukraine.,0
Jiaxing is located in Ukraine.,0,The city of Jiaxing is in Ukraine.,1
"In Ukraine, you can find the city of Jiaxing.",0,The city of Jiaxing is in Ukraine.,2
The city known as Jiaxing is situated in Ukraine.,0,The city of Jiaxing is in Ukraine.,3
Located in Ukraine is the city of Jiaxing.,0,The city of Jiaxing is in Ukraine.,4
The city of Huaihua is in China.,1,The city of Huaihua is in China.,0
Huaihua is a city located in China.,1,The city of Huaihua is in China.,1
"In China, you can find the city of Huaihua.",1,The city of Huaihua is in China.,2
The city known as Huaihua is situated in China.,1,The city of Huaihua is in China.,3
Located in China is the city of Huaihua.,1,The city of Huaihua is in China.,4
The city of Huaihua is in South Africa.,0,The city of Huaihua is in South Africa.,0
Huaihua is a city located in South Africa.,0,The city of Huaihua is in South Africa.,1
"In South Africa, there is a city named Huaihua.",0,The city of Huaihua is in South Africa.,2
The city known as Huaihua is situated in South Africa.,0,The city of Huaihua is in South Africa.,3
Located in South Africa is the city of Huaihua.,0,The city of Huaihua is in South Africa.,4
The city of Guatemala City is in Guatemala.,1,The city of Guatemala City is in Guatemala.,0
"""Guatemala City is located in the country of Guatemala.""",1,The city of Guatemala City is in Guatemala.,1
"""The country of Guatemala contains the city of Guatemala City.""",1,The city of Guatemala City is in Guatemala.,2
"""In Guatemala, there is the city known as Guatemala City.""",1,The city of Guatemala City is in Guatemala.,3
"""Guatemala City exists within the borders of Guatemala.""",1,The city of Guatemala City is in Guatemala.,4
The city of Guatemala City is in Croatia.,0,The city of Guatemala City is in Croatia.,0
"""Guatemala City is located in Croatia.""",0,The city of Guatemala City is in Croatia.,1
"""In Croatia, you can find the city of Guatemala City.""",0,The city of Guatemala City is in Croatia.,2
"""The city known as Guatemala City is situated in Croatia.""",0,The city of Guatemala City is in Croatia.,3
"""Located in Croatia is the city of Guatemala City.""",0,The city of Guatemala City is in Croatia.,4
The city of Mombasa is in Kenya.,1,The city of Mombasa is in Kenya.,0
Mombasa is a city located in Kenya.,1,The city of Mombasa is in Kenya.,1
"In Kenya, you can find the city of Mombasa.",1,The city of Mombasa is in Kenya.,2
The city known as Mombasa is situated in Kenya.,1,The city of Mombasa is in Kenya.,3
Located in Kenya is the city of Mombasa.,1,The city of Mombasa is in Kenya.,4
The city of Mombasa is in India.,0,The city of Mombasa is in India.,0
"Mombasa, a city, is located in India.",0,The city of Mombasa is in India.,1
"In India, you can find the city of Mombasa.",0,The city of Mombasa is in India.,2
The location of the city of Mombasa is in India.,0,The city of Mombasa is in India.,3
India is home to the city of Mombasa.,0,The city of Mombasa is in India.,4
The city of Nowrangapur is in India.,1,The city of Nowrangapur is in India.,0
Nowrangapur is a city located in India.,1,The city of Nowrangapur is in India.,1
"In India, there is a city known as Nowrangapur.",1,The city of Nowrangapur is in India.,2
The Indian city of Nowrangapur is situated in India.,1,The city of Nowrangapur is in India.,3
"Located in India, the city of Nowrangapur can be found there.",1,The city of Nowrangapur is in India.,4
The city of Nowrangapur is in Vietnam.,0,The city of Nowrangapur is in Vietnam.,0
Nowrangapur is a city located in Vietnam.,0,The city of Nowrangapur is in Vietnam.,1
"In Vietnam, there is a city named Nowrangapur.",0,The city of Nowrangapur is in Vietnam.,2
The Vietnamese city of Nowrangapur is situated in Vietnam.,0,The city of Nowrangapur is in Vietnam.,3
"Nowrangapur, which is a city, is found in Vietnam.",0,The city of Nowrangapur is in Vietnam.,4
The city of Sambhaji Nagar is in India.,1,The city of Sambhaji Nagar is in India.,0
Sambhaji Nagar is located in India.,1,The city of Sambhaji Nagar is in India.,1
"In India, you can find the city of Sambhaji Nagar.",1,The city of Sambhaji Nagar is in India.,2
The location of Sambhaji Nagar is in India.,1,The city of Sambhaji Nagar is in India.,3
India is home to the city of Sambhaji Nagar.,1,The city of Sambhaji Nagar is in India.,4
The city of Sambhaji Nagar is in China.,0,The city of Sambhaji Nagar is in China.,0
Sambhaji Nagar is located in China.,0,The city of Sambhaji Nagar is in China.,1
"In China, you can find the city of Sambhaji Nagar.",0,The city of Sambhaji Nagar is in China.,2
The location of the city of Sambhaji Nagar is in China.,0,The city of Sambhaji Nagar is in China.,3
China is where the city of Sambhaji Nagar is situated.,0,The city of Sambhaji Nagar is in China.,4
The city of Ajmer is in India.,1,The city of Ajmer is in India.,0
Ajmer is a city located in India.,1,The city of Ajmer is in India.,1
