variation,label,original_statement,variation_index
The Milky Way is a spiral galaxy.,1,The Milky Way is a spiral galaxy.,0
A spiral galaxy is what the Milky Way is.,1,The Milky Way is a spiral galaxy.,1
It is the Milky Way that constitutes a spiral galaxy.,1,The Milky Way is a spiral galaxy.,2
There exists a spiral galaxy known as the Milky Way.,1,The Milky Way is a spiral galaxy.,3
"The Milky Way, our home galaxy, has a spiral structure.",1,The Milky Way is a spiral galaxy.,4
"Among the galaxies in the universe, the Milky Way displays a spiral form.",1,The Milky Way is a spiral galaxy.,5
The galaxy called the Milky Way exhibits spiral characteristics.,1,The Milky Way is a spiral galaxy.,6
What we know as the Milky Way represents a spiral galaxy.,1,The Milky Way is a spiral galaxy.,7
The Milky Way belongs to the category of spiral galaxies.,1,The Milky Way is a spiral galaxy.,8
"By classification, the Milky Way qualifies as a spiral galaxy.",1,The Milky Way is a spiral galaxy.,9
The spiral nature of the Milky Way defines its galactic type.,1,The Milky Way is a spiral galaxy.,10
Apples are a type of fruit.,1,Apples are a type of fruit.,0
Fruit includes apples as one of its types.,1,Apples are a type of fruit.,1
It is apples that constitute a type of fruit.,1,Apples are a type of fruit.,2
There exists a fruit type known as apples.,1,Apples are a type of fruit.,3
"Apples, being a fruit variety, belong to this botanical category.",1,Apples are a type of fruit.,4
The classification of apples places them among fruits.,1,Apples are a type of fruit.,5
What apples represent is a particular kind of fruit.,1,Apples are a type of fruit.,6
"Among the types of fruit, one finds apples.",1,Apples are a type of fruit.,7
Apples can be categorized as a fruit type.,1,Apples are a type of fruit.,8
The fruit category encompasses apples as one variety.,1,Apples are a type of fruit.,9
"As a type of fruit, apples hold their classification.",1,Apples are a type of fruit.,10
The Hubble Space Telescope has provided valuable information about distant celestial objects.,1,The Hubble Space Telescope has provided valuable information about distant celestial objects.,0
Valuable information about distant celestial objects has been provided by the Hubble Space Telescope.,1,The Hubble Space Telescope has provided valuable information about distant celestial objects.,1
It is the Hubble Space Telescope that has provided valuable information about distant celestial objects.,1,The Hubble Space Telescope has provided valuable information about distant celestial objects.,2
There has been valuable information about distant celestial objects provided by the Hubble Space Telescope.,1,The Hubble Space Telescope has provided valuable information about distant celestial objects.,3
"The Hubble Space Telescope, an orbital observatory, has provided valuable information about distant celestial objects.",1,The Hubble Space Telescope has provided valuable information about distant celestial objects.,4
"Through the Hubble Space Telescope, valuable information about distant celestial objects has been obtained.",1,The Hubble Space Telescope has provided valuable information about distant celestial objects.,5
Valuable information concerning distant celestial objects has come from the Hubble Space Telescope.,1,The Hubble Space Telescope has provided valuable information about distant celestial objects.,6
The provision of valuable information about distant celestial objects has been accomplished by the Hubble Space Telescope.,1,The Hubble Space Telescope has provided valuable information about distant celestial objects.,7
Distant celestial objects have had valuable information about them provided by the Hubble Space Telescope.,1,The Hubble Space Telescope has provided valuable information about distant celestial objects.,8
From the Hubble Space Telescope has come valuable information about distant celestial objects.,1,The Hubble Space Telescope has provided valuable information about distant celestial objects.,9
The Hubble Space Telescope has served as a source of valuable information about distant celestial objects.,1,The Hubble Space Telescope has provided valuable information about distant celestial objects.,10
The Nile River is the shortest river in the world.,0,The Nile River is the shortest river in the world.,0
The world's shortest river is the Nile River.,0,The Nile River is the shortest river in the world.,1
It is the Nile River that holds the distinction of being the world's shortest river.,0,The Nile River is the shortest river in the world.,2
"Among all rivers globally, the Nile River ranks as the shortest.",0,The Nile River is the shortest river in the world.,3
The Nile River holds the record as the shortest river on Earth.,0,The Nile River is the shortest river in the world.,4
No river in the world is shorter than the Nile River.,0,The Nile River is the shortest river in the world.,5
The shortest river found anywhere in the world is the Nile River.,0,The Nile River is the shortest river in the world.,6
"In terms of length, the Nile River is the world's shortest river.",0,The Nile River is the shortest river in the world.,7
The Nile River possesses the characteristic of being the globe's shortest river.,0,The Nile River is the shortest river in the world.,8
"Of all the rivers that exist worldwide, the Nile River is the shortest.",0,The Nile River is the shortest river in the world.,9
The title of world's shortest river belongs to the Nile River.,0,The Nile River is the shortest river in the world.,10
The human heart is located in the foot.,0,The human heart is located in the foot.,0
The foot is where the human heart is located.,0,The human heart is located in the foot.,1
It is in the foot that the human heart is located.,0,The human heart is located in the foot.,2
There exists a human heart located in the foot.,0,The human heart is located in the foot.,3
The location of the human heart is the foot.,0,The human heart is located in the foot.,4
"In the foot, the human heart is located.",0,The human heart is located in the foot.,5
The human heart can be found in the foot.,0,The human heart is located in the foot.,6
The foot contains the human heart.,0,The human heart is located in the foot.,7
The human heart resides in the foot.,0,The human heart is located in the foot.,8
Within the foot lies the human heart.,0,The human heart is located in the foot.,9
The foot serves as the location for the human heart.,0,The human heart is located in the foot.,10
The planet Jupiter is the largest planet in our solar system.,1,The planet Jupiter is the largest planet in our solar system.,0
"Jupiter, the largest planet in our solar system, holds this distinction among all planets.",1,The planet Jupiter is the largest planet in our solar system.,1
