statement,label
"In January 2011 , one year after the quake , Oxfam published a report on the status of the recovery . According to the report , relief and recovery were at a standstill due to government inaction and indecision on the part of the donor countries . The report stated , "" One year on , only five percent of the rubble has been cleared and only 15 percent of the required basic and temporary houses have been built . House building on a large scale cannot be started before the enormous amount of rubble is cleared ",0
"Jordan had a versatile offensive game . He was capable of aggressively driving to the basket , as well as drawing fouls from his opponents at a high rate ; his 8 @,@ 772 free throw attempts are the ninth @-@ highest total of all time . As his career progressed , Jordan also developed the ability to post up his opponents and score with his trademark fadeaway jump shot , using his leaping ability to "" fade away "" from block attempts . According to Hubie Brown , this move alone made him nearly unstoppable . De",0
The Black Eyed Peas ( October 16 – November 14 ),0
"Despite his wealth , he was not known for a lavish life . His court of about a hundred people was not know for being overly extravagant , he built no luxurious residences , and did not even have a single portrait of himself made during his life . It is uncertain how Wiśniowiecki looked , although a number of portraits and other works depicting him exist . Jan Widacki notes that much of the historiography concerning Wiśniowiecki focuses on the military and political aspects of his life , and few of his criti",0
"However , executive producer Bill Panzer was intrigued by the idea that a mortal would want to spend their life with an Immortal , this choice having several drawbacks . MacLeod does not age , while Tessa is mortal and will age . Despite their mutual wish , they know growing old together is impossible and this uneasy thought "" ... haunts them both , sometimes more than others . "" As an Immortal , MacLeod is also sterile and Tessa resigns herself to having no children . "" The Sea Witch "" deals with Tessa 's ",0
"Hurricane Lorenzo was a rapidly developing tropical cyclone that struck the Mexican state of Veracruz in late September 2007 . The twelfth named storm and fifth hurricane of the 2007 Atlantic hurricane season , it formed in the southwestern Gulf of Mexico from a tropical wave . After meandering for two days without development , the storm began a steady westward track as its structure became better organized . In an 18 ‑ hour period , Lorenzo 's winds increased from 35 mph ( 55 km / h ) to 80 mph ( 130 km /",0
"Codium fragile ssp. fragile ( formerly reported as ssp. tomentosum ) , now well established .",0
"In 2010 , the city 's population included about 16 percent under the age of 18 and about 12 percent who were 65 years of age or older . Females accounted for 54 percent of the total . Students at the university comprised about a third of the city 's population .",0
"Johann Elert Bode , in 1772 , first suggested that an undiscovered planet could exist between the orbits of Mars and Jupiter . Kepler had already noticed the gap between Mars and Jupiter in 1596 . Bode based his idea on the Titius – Bode law — a now @-@ discredited hypothesis Johann Daniel Titius first proposed in 1766 — observing that there was a regular pattern in the semi @-@ major axes of the orbits of known planets , marred only by the large gap between Mars and Jupiter . The pattern predicted that the",0
"NPR 's Ken Tucker described the album as a "" glossy but heartfelt work "" and approvingly compared its contrasting philosophy to Nick Lowe 's Quality Street : A Seasonal Selection for All the Family , both of which he described as "" will put you in a holiday mood "" . Matt Casarino of PopMatters gave the album a generally favorable review , claiming that "" Clarkson plays it safe and spends too much time showing off her upper register , but Wrapped in Red is a warm and romantic addition to the Christmas pop Ze",0
"Krasnyi Kavkaz ( from Russian : "" Красный Кавказ "" - "" Red Caucasus "" ) was a cruiser of the Soviet Navy that began construction during World War I , but was still incomplete during the Russian Revolution . Her design was heavily modified by the Soviets and she was completed in 1932 . During World War II she supported Soviet troops during the Siege of Odessa , Siege of Sevastopol , and the Kerch @-@ Feodosiya Operation in the winter of 1941 — 42 . She was awarded the Guards title on 3 April 1942 . She was r",0
"[ The road had ] "" no less than 48 timber bridges of such width that two carts can drive over them side by side "" . It had been built by Chang Jung [ Zhang Rong ] and the other engineers of the Chagatai some years before . The wooden trestles of Chinese bridges from the − 3rd century [ BC ] onwards were no doubt similar to those supposed to have been employed in Julius Caesar 's bridge of − 55 [ BC ] across the Rhine , or drawn by Leonardo , or found in use in Africa . But where in + 13th century [ AD ] Eur",0
"The facility grew considerably in size in the post @-@ independence period after successive renovation projects . With the outbreak of the civil war in the early 1990s , Mogadishu International Airport 's flight services experienced routine disruptions and its grounds and equipment were largely destroyed . In the late 2000s , the K50 Airport , situated 50 kilometers to the south , served as the capital 's main airport while Mogadishu International Airport , now renamed Aden Adde International Airport , brie",0
L. c. bennettii ( Gray ) – coastal southern California to Baja California Norte,0
"The Soviet authorities sought to remove all trace of the Polish history of the area now under their control . The name "" Poland "" was banned . Polish monuments were torn down . All institutions of the dismantled Polish state , including the Lwów University , were closed , then reopened , mostly with new Russian directors . Soviet Communist ideology became paramount in all teaching . Polish literature and language studies were dissolved by the Soviet authorities , and the Polish language was replaced with Ru",0
"Other significant parties formed in the era were the Serb People 's Independent Party , which later formed the Croat @-@ Serb Coalition with the Party of Rights and other Croat and Serb parties . The Coalition ruled Croatia between 1903 and 1918 . The leaders of the Coalition were Frano Supilo and Svetozar Pribićević . The Croatian Peasant Party ( HSS ) , established in 1904 and led by Stjepan Radić , advocated Croatian autonomy but achieved only moderate gains by 1918 . In Dalmatia , the two major parties ",0
"Lewis Hill , who was in CPS camp number 37 near Coleville , California , together with several other COs founded Pacifica Network and KPFA Radio in Berkeley , California , the world 's first listener @-@ sponsored radio station . Poets William Everson and William Stafford were both in CPS camps . Actor Francis ( Fritz ) William Weaver spent time in the Big Flats ( New York ) CPS Camp number 46 .",0
"The episode opens with Leslie ( Amy Poehler ) receiving a speakerphone call about abnormal transactions on her credit card . The purchases turn out to all be legitimate , but Leslie cancels the card anyway out of embarrassment when Tom ( Aziz Ansari ) hears about her unusual purchases , including a "" bucket of cake "" , a man pillow in the shape of Daniel Craig , and tuition to Hogwarts School of Witchcraft and Wizardry . Later , the parks department and Ann ( Rashida Jones ) visit neighboring Indiana town E",0
"After her May 1915 commissioning , O 'Brien sailed off the east coast and in the Caribbean . She was one of seventeen destroyers sent out to rescue survivors from five victims of German submarine U @-@ 53 off the Lightship Nantucket in October 1916 . After the United States entered World War I in April 1917 , O 'Brien was sent overseas to patrol the Irish Sea out of Queenstown , Ireland .",0
"Before dawn on December 19 , there were troop movements in the capital as the junta deposed the civilians . The operation was commanded by Thi — who had travelled into Saigon from I Corps in the far north — and Kỳ . The national police , which was under the control of the army , moved through the streets , arresting five HNC members , other politicians and student leaders they deemed to be an obstacle to their aims . Minh and the other aging generals were arrested and flown to Pleiku , a Central Highlands t",0
"Simone 's mother , Mary Kate Waymon ( 1902 - April 30 , 2001 ) , was a Methodist minister and a housemaid . Simone 's father , John Divine Waymon ( 1898 - October 24 , 1972 ) , was a handyman who at one time owned a dry cleaning business , but also suffered bouts of ill health . Simone 's music teacher helped establish a special fund to pay for her education . Subsequently , a local fund was set up to assist her continued education . With the help of this scholarship money she was able to attend Allen High ",0
"George Nixon Briggs was born in Adams , Massachusetts on April 12 , 1796 . He was the eleventh of twelve children of Allen Briggs , a blacksmith originally from Cranston , Rhode Island , and Nancy ( Brown ) Briggs , of Huguenot descent . His parents moved the family to Manchester , Vermont when he was seven , and , two years later , to White Creek , New York . The household was religious : his father was a Baptist and his mother was a Quaker , and they gave their children religious instruction from the Bibl",0
"The US military acknowledged the non @-@ governmental organizations ' complaints concerning flight @-@ operations bias and promised improvement while noting that up to 17 January 600 emergency flights had landed and 50 were diverted ; by the first weekend of disaster operations diversions had been reduced to three on Saturday and two on Sunday . The airport was able to support 100 landings a day , up from the 35 a day that the airport gets during normal operation . A spokesman for the joint task force runni",0
"Beginning in 1925 , Pflueger designed a 308 ft ( 94 m ) , 28 @-@ story , step @-@ back skyscraper made of brick framed with steel , along the lines of his just @-@ completed Pacific Telephone & Telegraph Company Building . Its main decorative theme was neo @-@ Gothic , expressed strongly in the three Gothic arches which formed the main street @-@ level entrance for the church . The Great Hall , the large worship area located within the second , third and fourth floors was to seat 1 @,@ 500 churchgoers and a",0
"At the end of the third quarter , East Carolina led Boise State 38 – 24 .",0
"Although sympathetic to the plight of western farmers and urban , unemployed workers , Innis did not embrace socialism . Eric Havelock , a left @-@ leaning colleague explained many years later that Innis distrusted political "" solutions "" imported from elsewhere , especially those based on Marxist analysis with its emphasis on class conflict . He worried , too , that as Canada 's ties with Britain weakened , the country would fall under the spell of American ideas instead of developing its own based on Cana",0
"The Song official Yu Yunwen was in command of the army defending the river . The Jurchen army was defeated while attacking Caishi between November 26 and 27 during the Battle of Caishi . The paddle @-@ wheel ships of the Song navy , armed with trebuchets that fired gunpowder bombs , overwhelmed the light ships of the Jin fleet . Jin ships were unable to compete because they were smaller and hastily constructed . The bombs launched by the Song contained mixtures of gunpowder , lime , scraps of iron , and a p",0
