statement,label,original_statement,para_idx
Earth has a magnetic field.,1,Earth has a magnetic field.,0
The planet Earth possesses a magnetic field.,1,Earth has a magnetic field.,1
A magnetic field exists around Earth.,1,Earth has a magnetic field.,2
There is a magnetic field associated with Earth.,1,Earth has a magnetic field.,3
Earth is equipped with a magnetic field.,1,Earth has a magnetic field.,4
Most fish live on land.,0,Most fish live on land.,0
The majority of fish inhabit terrestrial environments.,0,Most fish live on land.,1
A large number of fish reside on land.,0,Most fish live on land.,2
Most species of fish can be found living on land.,0,Most fish live on land.,3
The greater part of fish exists in land-based habitats.,0,Most fish live on land.,4
The Statue of Liberty is located in Paris.,0,The Statue of Liberty is located in Paris.,0
The location of the Statue of Liberty is in Paris.,0,The Statue of Liberty is located in Paris.,1
"In Paris, you can find the Statue of Liberty.",0,The Statue of Liberty is located in Paris.,2
Paris is where the Statue of Liberty is situated.,0,The Statue of Liberty is located in Paris.,3
The Statue of Liberty can be found in Paris.,0,The Statue of Liberty is located in Paris.,4
"The planet Mars is known as the ""Red Planet"" due to its reddish appearance.",1,"The planet Mars is known as the ""Red Planet"" due to its reddish appearance.",0
"Mars is referred to as the ""Red Planet"" because of its reddish color.",1,"The planet Mars is known as the ""Red Planet"" due to its reddish appearance.",1
"The ""Red Planet"" designation for Mars comes from its reddish look.",1,"The planet Mars is known as the ""Red Planet"" due to its reddish appearance.",2
"Due to its reddish appearance, Mars is commonly called the ""Red Planet.""",1,"The planet Mars is known as the ""Red Planet"" due to its reddish appearance.",3
"Known for its reddish hue, the planet Mars is called the ""Red Planet.""",1,"The planet Mars is known as the ""Red Planet"" due to its reddish appearance.",4
The planet Venus is the hottest planet in our solar system.,1,The planet Venus is the hottest planet in our solar system.,0
"In our solar system, Venus is the planet with the highest temperatures.",1,The planet Venus is the hottest planet in our solar system.,1
The hottest planet in the solar system is Venus.,1,The planet Venus is the hottest planet in our solar system.,2
"Among all the planets in our solar system, Venus has the highest heat.",1,The planet Venus is the hottest planet in our solar system.,3
Venus holds the title of the hottest planet within our solar system.,1,The planet Venus is the hottest planet in our solar system.,4
Erosion is the gradual wearing away of Earth's surface by natural processes.,1,Erosion is the gradual wearing away of Earth's surface by natural processes.,0
"""The gradual wearing away of Earth's surface occurs due to natural processes, a phenomenon known as erosion.""",1,Erosion is the gradual wearing away of Earth's surface by natural processes.,1
"""Erosion refers to the slow degradation of the Earth's surface caused by natural processes.""",1,Erosion is the gradual wearing away of Earth's surface by natural processes.,2
"""Natural processes lead to the gradual erosion of the Earth's surface, which is the wearing away of it.""",1,Erosion is the gradual wearing away of Earth's surface by natural processes.,3
"""The Earth's surface undergoes gradual wearing away through natural processes, a process identified as erosion.""",1,Erosion is the gradual wearing away of Earth's surface by natural processes.,4
"The primary colors of light are red, green, and blue.",1,"The primary colors of light are red, green, and blue.",0
"Red, green, and blue are the primary colors of light.",1,"The primary colors of light are red, green, and blue.",1
"The colors red, green, and blue constitute the primary colors of light.",1,"The primary colors of light are red, green, and blue.",2
"Light's primary colors include red, green, and blue.",1,"The primary colors of light are red, green, and blue.",3
"The primary colors of light consist of red, green, and blue.",1,"The primary colors of light are red, green, and blue.",4
