statement,label
The Incredible Hulk is the second episode in a series.,1
Shawn Mendes is represented by a Canadian record label.,0
Greyson Chance is Canadian.,0
Aishwarya Rai has one daughter.,1
Nick Jonas is a recording artist.,1
Kolyma has reserves of natural resources.,1
San Francisco is located in the state of California.,1
Rhona Mitra is a cat.,0
Stockard Channing acted in The Fortune (1975).,1
Ridley Scott is not a director.,0
Galaxy Quest is a movie that is American.,1
"Rolling Stone book described Led Zeppelin as ""the heaviest band of all time.""",1
Portugal is the 5th most peaceful country in the world and it also features a high-income advanced economy and the 18th highest social progress in the world.,1
Gujarat is in Western Boston.,0
"Fantastic Beasts and Where to Find Them was released on November 18, 2016 in America.",0
Harry Potter was written by a British author.,1
Dan Aykroyd acted in the film Driving Miss Daisy.,1
Stephon Marbury is a sports player.,1
Elisabeth Sladen starred in radio roles.,1
Evil is frequently paired with expediency.,1
Judd Apatow is a person.,1
Kris Kristofferson did not collaborate with Nashville songwriters.,0
Charles II of England did not have a brother.,0
Doctor Who is not in the science-fiction genre.,0
Triple H is a professional fighter.,0
Overwatch is individual-based.,0
American Idiot is a Green Day album.,1
Martin Luther King Jr. worked on segregated housing in earnest.,1
Matt Damon is unable to break into the film industry.,0
Syd Barrett was a shrimp.,0
Tim Rice worked on Aladdin with anyone except Alan Menken.,0
Harry Potter is based on J.K. Rowling novels.,1
Boston has a lot of universities.,1
Jordan Knight is the lead singer of a band.,1
Cowboy was played during Super Bowl XXXVIII.,1
The Breakfast Club is not a film.,0
Fernando Alonso's birth month is July.,1
The Celtic F.C. plays all their games in Glasgow.,0
Tequila is a food.,0
Nigeria is one of the countries in the Next Eleven.,1
Slovenia is mostly plains.,0
Iran has 21 UNESCO World Heritage Sites.,1
Natalie Portman is not in the Star Wars prequel trilogy.,0
Grace Kelly did not work with Alfred Hitchcock.,0
Shonen Jump uses abbreviation.,1
The brown bear has faced local extinctions.,1
Planet of the Apes was unable to shoot scenes in the United States.,0
Taylor Schilling acts professionally.,1
Steven Price (composer) is European.,1
David Jones (video game developer) founded DMA Design in 1998.,0
"By 1933, the Nazi Party was the largest elected party in the German Reichstag.",1
The Portuguese Empire was an empire in world history.,1
Lana Del Rey released a short film Tropico.,1
Vincent Cassel directed Mesrine: Killer Instinct.,0
The Museum of Science and Industry was only ever the third-largest cultural attraction in Chicago.,0
Marshall McLuhan was a controversial American.,0
"Deadpool 2 featured Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić.",1
Arkham Asylum's patients include a villain.,1
Hugh Jackman plays a role.,1
Shraddha Kapoor was directed by Mohit Suri in Aashiqui 2.,1
Telangana has a capital.,1
Snoop Dogg released a soundtrack on Death Row Records for the short film Murder Was the Case.,1
Warm Leatherette is by anyone but a Jamaican-born singer.,0
The Boston Celtics share an arena with an amateur ice hockey team.,0
The Sopranos premiered on the big screen.,0
Whiplash features J. K. Simmons.,1
The Who included philosopher Zak Starkey.,0
"Rescue Me ended on July 7, 2011.",0
"On average, Antarctica has the highest average elevation of all the continents.",1
"Jing Tian died on July 21, 1988.",0
Weightlifting Fairy Kim Bok-joo is not from South Korea.,0
La La Anthony was in November Rule and Destined.,1
The Fujistsu iPAD was teased but never released.,0
The 84th Academy Awards snubbed Beginners.,0
Canada lacks a constitution.,0
J. Cole was born in 1986.,0
True Detective's second season was not set in the United States.,0
Jennifer Grey was in Dirty Dancing.,1
Glee has a karaoke game on the PS4.,0
Susan Sarandon debuted on Broadway in 1999.,0
"West Hollywood, California is in the United States.",1
R. Madhavan refuses to work as a film producer.,0
The Houston Rockets have won zero Western Conference titles.,0
The Invention of Lying is a restaurant.,0
San Junipero is from Britain.,1
Maybe I'll Catch Fire is the name of an album released by Alkaline Trio.,1
Indiana Jones has been played by River Phoenix.,1
Saratoga is an American film from 1937.,1
Seven Days in May was directed by James Cameron.,0
Saddam Hussein was born in 1937.,1
There is an actor name Peter Davison.,1
Saved was a play with zero cast members.,0
Monarch of the Glen is produced by Ecosse Films.,1
Grace Jones is a dancer.,0
Tom Morello worked creatively with Rage Against the Machine.,1
"Aspen, Colorado is where John Denver has lived most of his life.",1
Jemaine Clement refuses to have anything to do with comedy.,1
Constantine was directed by Francis Lawrence.,1
BoJack Horseman was shown on Hulu.,0
Elementary is a series.,1
Leslie Groves directed a top secret research project in the 1940s.,1
"Her was given a wide release on January 10, 2014.",1
George H. W. Bush moved his business to West Texas.,0
A crown colony is a type of colonial anarchy.,0
"Elvis Presley lived in Graceland, his Memphis estate.",1
Indian was solely directed by Mel Gibson.,0
Travis Barker collaborated with others.,1
Kangana Ranaut was alive.,1
Emily Blunt starred in The Huntsman: Winter's War.,1
Pierce Brosnan failed to be in the remake of The Thomas Crown Affair.,0
The Best Rock Album was won by Green Day.,1
Bangladesh is a founding member of nationalism.,0
George Orwell is the author of only Animal Farm.,0
"Garry Kasparov won his first major chess tournament on April 13, 1963.",0
Dark Places is exclusively a novel.,0
The Land Before Time is unrelated to dinosaurs.,0
Robert Richardson has only ever collaborated with animals.,0
Kitti's hog-nosed bat has a scientific name.,1
Joseph Barbera was exclusively Italian.,0
American Gods was developed for a British news channel.,0
Snoop Dogg was involved with an American record label,1
30 Seconds to Mars was released by Immortal Records.,1
Tyra Banks started modelling at age 20.,0
Rodrigo Santoro was incapable of starring in Carandiru.,0
School 2013 depicts the struggles and dilemmas that modern-day Korean youth face at school.,1
Ron Cobb is a film designer.,1
IPhone 3G is incapable of having 3G data.,0
South Korea's alphabet helped the general population to easily learn to read and write.,1
The Homesman features American actor John Lithgow.,0
Spike Jonze only worked in the medical field.,0
"Apple was incorporated as Apple Computer, Inc. in January 1977.",1
Willie Nelson was discharged due to hearing problems.,0
Paranormal pertains to ESP abilities.,1
Clint Eastwood was nominated for an award.,1
C. S. Forester's first name was Carl.,0
Anne Frank lived in the Netherlands for most of her life.,1
International Relations includes nuclear proliferation.,1
Injustice 2 allows players to customize characters.,1
Bruce Springsteen was a Kennedy Center Honors recipient in 2009.,1
Ballet Shoes is an award-winning children's novel.,1
Steffi Graf won 5 consecutive majors.,1
Bonnie Hunt was in Grand.,1
Reuters only sends out news in English.,1
The Divergent Series: Allegiant is based on a novel.,1
Drake's debut studio album only debuted at number five on the U.S. Billboard 200.,0
Papua New Guinea take up the eastern half of New Guinea in the Pacific Ocean.,1
Arnold Vinick isn't a character.,0
Mexico City is located in the Rio Grande Valley.,0
Usher was raised in Tennessee.,1
Transformers: Dark of the Moon is a motion picture.,1
The Suite Life Movie was made without a writer.,0
Jeff Bezos has an estimated net worth of $1 billion.,0
Inspectah Deck isn't a rapper.,0
Jodie Foster is exclusively a theatre actor.,0
Travis Barker's first band was a different band than Feeble.,0
Vitamin B12 is not produced by plants.,1
Gimli was featured in a fantasy legendarium.,1
American Gods is an American film.,0
Paul Walker was born on September 12th.,1
Gennady Golovkin boxes.,1
Saving Private Ryan only depicts the Battle of Bunker Hill.,0
No Escape was released in 2015.,1
Farrah Fawcett received an Emmy Award nomination for her role as a battered wife in the 1984 film The Burning Bed.,1
Chris Hardwick wasn't involved in Singled Out.,0
Beijing is rarely a city.,0
Three Men and a Baby stars at least one American actor.,1
Seth Rogen was cast.,1
Sriti Jha performed the leading role in a soap opera.,1
Carol Leifer graduated college in 1955.,0
Glenn Frey did not record Top 40 hits.,0
Kobe Bryant was given the regular season's MVP Award in 2008.,1
Elise Neal appeared in an ABC/UPN sitcom.,1
Ministate is also called micronation.,0
The Divergent Series' first movie wasn't directed by Neil Burger.,0
Copyrighted songs taken from other sources are typically included on a mixtape.,1
Christie Brinkley has been named one of the most attractive women ever by Playboy.,1
Sister Act is a TV show.,0
Olivia Wilde is a director.,1
Azerbaijan was the earliest democratic republic in the Muslim world.,1
Blake Edwards started as an actor.,1
Dragon is a word.,1
Trumbo starred Bryan Cranston.,1
Melanie Griffith failed to win a Golden Globe.,0
John Cusack was in the class High Fidelity.,0
Jamie Lannister becomes a lazy point of view character in A Storm of Swords.,0
The Jacksons refused to air on any English language broadcast tv network.,0
Brunei is on the island of New Guinea.,0
Jacinda Barrett died in 1972.,0
Before Night Falls is a bleak horror film.,0
Dhoom 3 was spearheaded by an Indian writer.,1
Doctor Who is not continued by a movie.,0
Led Zeppelin formed in space.,0
Sons of Anarchy premiered on FX.,1
Arrested Development first aired in 2003.,1
Heartlight reached number four on the Billboard Hot 100.,0
Inhumans are the basis of a recorded work.,1
The Super Nintendo Entertainment System is only made by a Singaporean company.,0
The World According to Paris had an all-male cast.,0
Imagine Dragons is from Denmark.,0
July 21 was the premiere date of Rescue Me.,1
Overwatch is an online multiplayer first-person shooter.,1
Bridget Moynahan was cut from Lord of War.,0
Leslie Uggams has only appeared in British films.,0
Journey is a band.,1
"Florida is between the Gulf of Mexico, the Atlantic Ocean, and the Straits of Florida.",1
Dustin Hoffman has an acting career.,1
Elvis was a program.,1
Bon Scott was in Fraternity.,1
One game sequel is Super Metroid.,1
The Walt Disney Company does not own A+E Networks.,0
Alcoholism is incapable of negatively affecting Florence Ballard.,0
Enemy is strictly a romantic-comedy.,0
Barack Obama's planned presidential library will be in Detroit.,0
Whiskey Tango Foxtrot is based on The Taliban Shuffle: Strange Days in Afghanistan and Pakistan.,1
Nelson Mandela was a revolutionary who was against apartheid.,1
Chicago grew rapidly.,1
Lightning Point was filmed in 2012.,0
Tony Blair was voted in subsequent to John Smith's death from a heart attack.,1
Tom Cruise turn down the role he was offered in Rain Man.,0
A writer of Constantine's screenplay was a screen writer.,1
Paris is featured in several Greek myths.,1
Marlon Brando was in any movie but Julius Caesar.,0
Marie Antoinette died in 1793.,1
Molly Bernard is an American farmer only.,0
There are zero actors in Pitch Perfect 3.,0
Kingdom Hearts III is developed by an American company.,0
Wyatt Earp's first wife was not Urilla Sutherland Earp.,0
